,0,1,2,3,4
0,763,ACE,Ace,2793943.0,0.302823
1,63,ARK,Ark,374996215.0,3.66481
2,56,REP,Augur,483432400.0,43.9484
3,21,BNB,Binance,1653336412.0,14.4977
4,1,BTC,Bitcoin,165940064554.0,9752.79
5,4,BCH,Bitcoin Cash,26273362405.0,1535.63
6,479,BDG,BitDegree,14246307.0,0.0401792
7,34,BTS,BitShares,935941536.0,0.357032
8,995,CAT,BlockCAT,229338.0,0.0357562
9,154,BOS,BOScoin,120428499.0,0.271136
10,545,BWK,Bulwark,10213107.0,1.5052
11,113,GBYTE,Byteballs,173346072.0,268.36
12,6,ADA,Cardano,9416141624.0,0.363178
13,100,LINK,ChainLink,194220600.0,0.554916
14,12,DASH,DASH,4002962051.0,497.147
15,338,ONION,DeepOnion,28964550.0,2.01376
16,213,DNT,district0x,66396600.0,0.110661
17,143,ENJ,EnjinCoin,128109602.0,0.169414
18,2,ETH,Ethereum,79468646659.0,800.906
19,88,FCT,Factom,247501253.0,28.3017
20,66,GAS,Gas (NEO),351032263.0,34.6583
21,44,GNT,Golem,673464674.0,0.807258
22,20,ICX,ICON,1661017252.0,4.28947
23,1156,ICN,Iconomi,274356.0,0.00925568
24,9,IOTA,IOTA,6726157537.0,2.41989
25,22,LISK,Lisk,1496488800.0,14.1804
26,7,LTC,Litecoin,9221981723.0,163.578
27,263,MLN,Melon,47500292.0,79.2464
28,13,XMR,Monero,3965942939.0,247.924
29,25,NANO,Nano (RaiBlocks),1280837188.0,9.61241
30,14,XEM,NEM,3929886000.0,0.436654
31,10,NEO,NEO,5565371500.0,85.6211
32,481,NLC2,NoLimitCoin,14138065.0,0.0680783
33,19,OMG,OmiseGO,1813173694.0,17.7688
34,69,PIVX,PIVX,325817081.0,5.80543
35,18,QTUM,Qtum,2021605228.0,22.8249
36,775,QVT,Qvolta,2506598.0,0.355891
37,3,XRP,Ripple,35934103693.0,0.917195
38,485,RISE,Rise,13762700.0,0.110987
39,284,SAFEX,Safe Exchange Coin,38530639.0,0.0249687
40,824,SAGA,SagaCoin,1707628.0,0.537024
41,32,SC,Siacoin,964569567.0,0.0281975
42,707,SEND,SocialSend,3981696.0,0.124138
43,31,STEEM,Steem,998856229.0,3.92983
44,8,XLM,Stellar Lumen,8119173330.0,0.437174
45,42,STRAT,Stratis,724080647.0,7.32563
46,509,SYNX,Syndicate,12048079.0,0.616849
47,75,SYS,Syscoin,295053701.0,0.5534
48,1367,XTZ,Tezos,None,3.93398
49,596,TKS,Tokes,8074089.0,2.41184
50,567,TX,TransferCoin,9490223.0,1.47143
51,11,TRX,Tron,5464496504.0,0.0831126
52,26,XVG,Verge,1183863198.0,0.0791579
53,50,WTC,WaltonChain,554530033.0,17.8053
54,40,WAVES,Waves,769710000.0,7.6971
55,1055,XNN,Xenon,5481360.0,0.0182712
